,0
163,"(8.758596599999999, 78.1830931)"
164,"(24.4534425, 82.98417119999999)"
165,"(24.4745021, 82.98778659999999)"
166,"(21.2786567, 81.8661442)"
167,"(13.4408472, 80.1005989)"
168,"(15.9128998, 79.7399875)"
169,"(15.9128998, 79.7399875)"
170,"(29.3984935, 76.8691013)"
171,"(26.47049, 80.2408241)"
172,"(26.47049, 80.2408241)"
173,"(20.7178651, 76.7964506)"
174,"(25.5147479, 78.7575655)"
175,"(18.8680163, 76.524131)"
176,"(21.2786567, 81.8661442)"
177,"(21.2786567, 81.8661442)"
178,"(23.6407926, 85.2935849)"
179,"(25.4358011, 81.846311)"
180,"(23.617391, 86.6585897)"
181,"(16.3603632, 77.3400834)"
182,"(21.4376483, 81.8497567)"
183,"(27.0238036, 74.21793260000001)"
184,"(28.6406214, 77.24950020000001)"
185,"(29.0587757, 76.085601)"
186,"(30.5600752, 76.5786318)"
187,"(18.755001, 79.45610669999999)"
188,"(18.7518652, 79.5133701)"
189,"(18.755001, 79.45610669999999)"
190,"(22.3326771, 82.4915194)"
191,"(14.7120931, 78.4647081)"
192,"(14.7120931, 78.4647081)"
193,"(27.5705886, 80.0981869)"
194,"(30.9661003, 76.5230961)"
195,"(27.819417, 79.93540759999999)"
196,"(22.2475164, 84.8532348)"
197,"(23.0903425, 72.5855557)"
198,"(23.0903425, 72.5855557)"
199,"(24.2924268, 88.0851909)"
200,"(22.6708317, 71.5723953)"
201,"(21.2786567, 81.8661442)"
202,"(23.3072249, 81.06580629999999)"
203,"(23.5984753, 86.47438)"
204,"(23.9992442, 82.6240329)"
205,"(22.107542, 78.1750045)"
206,"(22.0868691, 79.5434841)"
207,"(22.0868691, 79.5434841)"
208,"(15.9128998, 79.7399875)"
209,"(15.9128998, 79.7399875)"
210,"(21.3495981, 74.8797127)"
211,"(27.0238036, 74.21793260000001)"
212,"(22.1005829, 76.5317675)"
213,"(22.1005829, 76.5317675)"
214,"(22.6708317, 71.5723953)"
215,"(17.7606318, 83.266657)"
216,"(17.7606318, 83.266657)"
217,"(15.9128998, 79.7399875)"
218,"(15.9128998, 79.7399875)"
219,"(18.8353735, 79.573363)"
220,"(21.9128135, 83.1231403)"
221,"(24.1207356, 82.6930529)"
222,"(22.1376877, 82.2906871)"
223,"(17.6599188, 75.9063906)"
224,"(17.6599188, 75.9063906)"
225,"(22.9867569, 87.8549755)"
226,"(20.2375561, 84.2700179)"
227,"(21.1702401, 72.83106070000001)"
228,"(29.1818455, 74.0220953)"
229,"(29.1961841, 73.9844722)"
230,"(21.2786567, 81.8661442)"
231,"(22.3858962, 82.6834453)"
232,"(20.9501027, 85.216816)"
233,"(21.0972861, 85.0741374)"
234,"(29.987507, 75.0903154)"
235,"(22.0962454, 83.4350443)"
236,"(26.5432647, 82.66454689999999)"
237,"(19.8649145, 72.6849984)"
238,"(18.7508118, 79.4731044)"
239,"(18.1124372, 79.01929969999999)"
240,"(23.7299203, 85.78716630000001)"
241,"(14.2310837, 80.1009313)"
242,"(14.2310837, 80.1009313)"
243,"(21.4068321, 79.9309055)"
244,"(22.7382665, 88.37370639999999)"
245,"(15.2026796, 76.6586928)"
246,"(15.2026796, 76.6586928)"
247,"(19.0046511, 72.90484330000001)"
248,"(8.764166099999999, 78.1348361)"
249,"(8.764166099999999, 78.1348361)"
250,"(8.764166099999999, 78.1348361)"
251,"(8.762533399999999, 78.1764334)"
252,"(21.8956926, 83.1354144)"
253,"(8.4342059, 78.0687695)"
254,"(13.1634295, 74.8123147)"
255,"(21.2121038, 73.56059170000002)"
256,"(25.916272, 81.32924539999999)"
257,"(20.2375561, 84.2700179)"
258,"(27.3175183, 82.4183927)"
259,"(13.2298904, 80.2741714)"
260,"(20.2375561, 84.2700179)"
261,"(24.0990515, 82.6756303)"
262,"(17.5636921, 83.13911999999999)"
263,"(17.5636921, 83.13911999999999)"
264,"(22.8671953, 73.3517114)"
265,"(20.250596, 79.0163018)"
266,"(16.6970997, 79.58755459999999)"
267,"(30.1290485, 77.2673901)"
268,"(16.2633031, 77.3568485)"
